business_id,name,city,state,business avg stars,review_count,categories,business_group
b_163,Mitchell-Baldwin,Jenniferfort,MO,3.1,344,"product, wrong, human",A
b_164,Fowler-Pena,Brandychester,AZ,1.4,88,"open, simple",A
b_165,Garrison-Medina,Lake Jeremyshire,TX,4.3,433,"including, store, perform",A
b_166,Gibson-Schwartz,New Robinfurt,KS,2.3,363,"decade, once",A
b_167,"Weber, Smith and Sanders",New Joanna,AK,1.7,23,sport,B
b_168,"Davis, Gutierrez and Peterson",Austinport,OH,1.2,38,"probably, protect",A
b_169,Freeman PLC,Michaelfurt,SC,3.4,153,"back, yard",B
b_170,Fisher-Douglas,Port Susanberg,,3.7,486,know,B
b_171,Turner Inc,Lake Angelaland,,1.1,352,"floor, radio",B
b_172,"Maxwell, Fields and Watson",Lake Jesse,AK,3.0,19,order,A
b_173,Reynolds-Mendez,Lake Christopher,ND,1.9,56,"poor, artist, market",B
b_174,Yates-Gonzalez,Lopezport,CT,3.6,269,"west, choice, next",B
b_175,Mendoza and Sons,West Brian,OH,1.7,21,"lose, break",B
b_176,"Wilson, Pierce and Herrera",West Jennifertown,NC,3.8,307,"science, fast, speech",B
b_177,Martinez-Huerta,Daltonbury,IL,2.5,235,modern,B
b_178,Bell Ltd,Caitlinchester,MS,4.7,269,,B
b_179,Mccullough-Oneal,South Michaelton,,1.6,93,less,B
b_180,Joyce-Buckley,Port Dana,AK,2.4,357,"today, feeling, series",A
b_181,Smith-Garcia,Beckyside,TX,1.5,357,"do, service",A
b_182,"Weber, Duran and Dean",Boyleton,LA,4.7,15,"whose, might, data",B
b_183,Sanchez-Mercer,Paynetown,AR,4.5,407,"east, deal, house",B
b_184,Garrett-Best,West Ryan,WY,2.0,256,"factor, executive, sort",A
b_185,Simmons LLC,Lake Joseph,CA,3.6,44,out,B
b_186,"Rivera, Johnston and Allen",Garzachester,SD,4.3,184,measure,B
b_187,Brewer-James,,MI,3.2,451,"contain, building",A
b_188,"Rodriguez, Stout and Holland",Taylorview,CA,3.1,74,area,B
b_189,Page-Williams,North Meredithfurt,ME,2.0,156,"investment, industry, music",B
b_190,Hall-Ponce,Maryfurt,KS,1.4,66,"but, need, nothing",B
b_191,"Gray, Smith and Reid",Lake Jessicaton,TN,4.6,202,be,B
b_192,Gould-Miller,Port Ronaldton,CO,4.6,22,"paper, bag, either",A
b_193,Jensen PLC,West Jonathan,OK,3.5,401,"tend, feel",B
b_194,Ryan-Scott,North Daniel,FL,2.4,27,"brother, statement",
b_195,Cordova Inc,Joshuatown,AK,2.4,255,our,A
b_196,Washington-Calderon,Joshuabury,ID,3.9,172,stock,A
b_197,Wilson-Curry,Dannyville,SD,4.6,352,"dream, because",B
b_198,,East Dominic,RI,4.5,123,"ground, occur",B
b_199,"Rogers, Robinson and Edwards",Sweeneystad,VA,4.1,291,radio,B
b_200,May-Mason,Port Roberttown,WA,3.6,242,all,B
b_201,"Mcdonald, Martinez and Ramirez",Kimhaven,OK,1.3,175,us,B
b_202,Byrd PLC,Williamsborough,CO,1.6,477,"newspaper, memory, science",B
b_203,Mcdaniel-Soto,Lake Richard,IL,4.6,331,tough,B
b_204,Duran and Sons,Cynthiamouth,KS,3.4,35,region,A
b_205,Miranda-Foster,Herrerahaven,VT,1.0,135,"where, land, public",A
b_206,"Casey, Reynolds and Smith",West Deborahton,WV,1.4,322,"blue, voice",B
b_207,"Meyer, Morales and Ross",Lake Elizabeth,,3.7,493,send,B
b_208,"Roberts, Drake and Ramirez",Halemouth,AZ,1.0,290,"shake, store, result",B
b_209,Scott-Charles,East Sharon,PA,1.6,295,investment,B
b_210,"Compton, Huffman and Cross",Dorisbury,NC,3.2,475,enjoy,B
b_211,Mckee and Sons,West Edwardborough,KY,3.8,400,"partner, result, media",B
b_212,Moore-Clay,New Theresa,WY,3.6,292,"learn, song",A
b_213,Ortiz PLC,North Phillipstad,HI,1.9,148,"security, behavior, figure",A
b_214,Brock LLC,Whiteview,TN,3.8,110,kid,B
b_215,"Johnson, Barrett and Washington",Johnstad,CA,1.9,401,"offer, present",B
b_216,Vega LLC,East Angela,NM,2.3,20,"protect, condition, will",B
b_217,"Smith, Williams and Moore",Madisonberg,IA,4.0,391,"create, evening, science",A
b_218,Rojas-Wyatt,Garciastad,ME,3.6,225,"dark, fly",A
b_219,Williams-Shields,Willisport,TX,4.4,39,end,A
b_220,"Frazier, Walsh and Blevins",North Robin,CO,3.6,103,"reveal, information, role",B
b_221,"Stephens, Johnson and Vaughan",New Hollymouth,MI,3.3,125,"thousand, group, vote",A
b_222,"Sanchez, Orozco and Walker",Markchester,MT,1.4,280,"course, account, instead",B
b_223,"Johnson, Green and Garrett",Burkebury,CA,2.5,449,form,B
b_224,Morris-Taylor,South Joseph,OH,2.1,300,"traditional, participant, drop",
b_225,"Leblanc, Young and Price",Lisashire,KY,2.0,48,,B
b_226,Hamilton Inc,West Meganbury,MO,4.9,33,"radio, either",A
b_227,Barrera-Thompson,East Vincentland,SC,2.6,273,"hundred, official, down",B
b_228,"Burns, Long and Whitney",East Derekchester,NJ,4.6,52,"federal, arm, finally",B
b_229,Mccoy-Prince,New Marcusfurt,LA,3.5,179,"assume, way",A
b_230,"Perez, Brooks and Lowery",Brittanyfurt,NE,4.2,349,"he, wrong",B
b_231,Conrad-Navarro,Robinsonfort,NY,3.0,178,"source, arrive, direction",B
b_232,Anderson PLC,Russofort,IN,3.3,312,"create, dog",B
b_233,"Doyle, Miller and Freeman",Millershire,TX,3.0,35,learn,A
b_234,"Newman, Allen and Gregory",Jamesburgh,HI,1.8,189,finally,B
b_235,Stewart LLC,West Andrewfort,ND,3.9,481,party,B
b_236,"Reid, Brown and Pineda",West Janet,AR,2.1,159,chair,A
b_237,Carlson-Valentine,Rebeccaborough,MO,1.1,142,"year, your",B
b_238,Harris Group,Joelfort,OK,3.6,152,direction,B
b_239,Levine PLC,Davidview,NE,1.7,173,"option, ahead, throughout",B
b_240,"Fisher, Miles and Owen",Port Stephaniehaven,WV,4.8,110,"pretty, music, international",B
b_241,Cole LLC,South Jasonton,KS,4.8,72,wish,A
b_242,"Barker, Smith and White",North Connor,HI,4.7,102,"season, stuff, amount",A
b_243,"Lopez, Baker and Roy",Juarezville,MT,2.5,216,its,B
b_244,Kemp-Davis,Kennethhaven,ID,1.1,484,red,A
b_245,"Bryan, Gardner and Garcia",Lancefort,NY,4.7,442,spring,B
b_246,"Gallegos, Clark and Myers",,WI,2.7,320,"away, particular, cause",B
b_247,"Thomas, Kaufman and Oliver",Andrewshire,HI,4.9,81,"challenge, represent, member",
b_248,"Hill, Heath and Steele",South Shelbyville,OR,4.9,69,trial,B
b_249,,Cindybury,AK,4.4,450,baby,B
b_250,Campos-Cortez,New Erin,AR,2.2,38,letter,B
b_251,"Bailey, Buckley and Li",Adamport,MD,2.5,28,several,B
b_252,Green-Thomas,Henrytown,AK,4.4,488,"military, team",A
b_253,Kaufman and Sons,Saraburgh,RI,2.3,82,defense,A
b_254,Porter Group,Justinberg,NM,1.7,403,"indicate, professor, record",A
b_255,Glover and Sons,South Christystad,,3.2,366,no,A
b_256,Zimmerman Inc,East Megan,ME,4.7,403,"pressure, view",A
b_258,Oneill and Sons,Charlesside,NE,3.3,490,"should, when",A
b_259,Snow-Marshall,Rosariobury,WV,1.4,482,material,A
b_261,"Patterson, Stewart and Hahn",North Desiree,NH,5.0,447,thing,B
b_262,"Scott, Mcmillan and Chan",Lake Jennifer,OR,1.6,449,"affect, laugh, lead",B
b_263,"Diaz, Moreno and Bradford",South Laura,DE,3.1,333,"allow, it, reveal",B
b_264,West Group,Whiteburgh,NH,4.5,462,"democratic, too, because",B
b_265,Marshall-Green,West Brianbury,GA,4.0,96,"everything, which",A
b_266,"Robles, Harris and Thomas",South Jessicashire,SD,3.8,368,likely,A
b_267,Ross-Levy,Port Davidmouth,,3.8,192,"improve, example",A
b_268,"Li, Harris and Ferguson",Millerfurt,VT,2.4,206,"unit, threat",
b_269,Miller Ltd,North Shirley,AK,2.2,253,story,A
b_270,Ramos Group,Lauraburgh,IN,4.2,337,him,B
b_271,Mcdonald-Miller,Michelleburgh,MN,4.2,474,power,A
b_273,Smith-Davidson,Brandtchester,AK,4.7,127,"energy, manage",A
b_274,,Josephton,ME,3.0,405,"kind, lawyer",A
b_275,"Hebert, Jackson and Green",Port Markside,SC,3.0,428,"central, lawyer",B
b_276,Smith-Sanders,Jamesmouth,ND,4.2,381,"inside, sense",B
b_277,Evans-Weeks,Lake Michael,TX,3.6,471,"test, seven",B
b_278,Johnson Inc,Port Danielborough,MA,3.8,91,"able, generation, have",A
b_279,Rose Inc,New Jacob,LA,4.2,467,,B
b_280,Rodriguez and Sons,Michaelmouth,ND,4.6,256,"money, point, political",B
b_281,Hurley-Sutton,Port Joseph,TN,2.4,472,"action, skill, raise",B
b_282,Parker and Sons,Byrdtown,IL,2.5,243,"after, a, process",A
b_283,"Campbell, Anderson and Santos",Brooksmouth,OK,1.4,426,skin,B
b_284,Grant-Schwartz,Zacharyville,VT,3.3,476,note,A
b_285,Huber-Kennedy,North Jamesport,KS,1.1,491,,A
b_286,Burns Inc,Port Derekland,MO,2.9,374,"very, ground, maybe",A
b_287,"Chandler, Armstrong and Simpson",North Ryan,KY,3.2,162,"generation, true",B
b_288,Miller LLC,East Richardshire,AL,2.1,281,professor,A
b_289,Jennings-Barber,,UT,3.4,401,mouth,B
b_290,"Mitchell, Hernandez and Rodriguez",South Wendyland,CO,1.1,44,require,B
b_291,"Santos, Morris and Cline",Colestad,NM,1.1,222,create,B
b_293,Thomas Inc,Aprilfort,PA,2.4,439,"who, various",A
b_294,Turner-Garcia,Collinsville,SC,1.5,148,happy,A
b_295,Martin-Black,Susanbury,NH,3.1,198,"prove, figure",B
b_296,"Dyer, Watts and Villegas",Blackside,MS,4.1,309,new,B
b_297,Stevens LLC,Garciaville,MI,1.9,404,"anything, dark",A
b_298,"Smith, Day and Huff",North Rebecca,RI,3.5,261,"feeling, real",A
b_299,,New Brad,WA,1.3,404,three,B
b_300,"Park, Harris and Castro",East Jasmineville,CT,1.2,159,about,B
b_301,"Cochran, Lewis and Miller",,WY,3.1,350,"talk, sing",B
b_302,Oconnor PLC,Angelatown,FL,3.2,228,"gas, industry, run",B
b_304,"Gonzalez, Davis and Adams",East Brittany,KY,3.9,199,task,A
b_305,Riddle Group,Larsonview,SD,4.9,243,"great, rather, audience",B
b_306,Daniels LLC,Aliciachester,WV,3.1,185,"that, enjoy, light",A
b_307,Griffin Inc,Hallton,DC,2.3,241,imagine,A
b_308,Harmon and Sons,Danielshire,AR,4.2,367,door,B
b_309,"Cabrera, Moore and Thompson",Deniseton,OH,2.1,487,us,B
b_310,Flores-Flores,New Nancybury,NE,2.8,72,base,A
b_311,"Christian, Nelson and Williams",Arnoldberg,WA,1.3,444,"argue, today",B
b_312,"Romero, Bell and Young",Grayborough,WY,1.1,438,"we, end",A
b_313,Ellison-Bailey,North Williamberg,PA,4.9,246,"everything, stage",B
b_314,,South Anna,OK,4.3,42,trouble,A
b_315,Beck-Howard,Mikaylaport,HI,3.8,222,"same, every",B
b_316,Murphy PLC,Clarkmouth,MT,2.6,69,significant,A
b_317,Elliott LLC,Cliffordfort,AL,1.7,388,against,B
b_318,Lambert-Martin,New Brittney,MO,1.6,11,,B
b_319,Yu PLC,Lake Aprilside,DC,2.0,406,,B
b_320,"Williams, Smith and Gregory",Port Bryan,ME,3.2,459,"study, financial",B
b_321,Lee-Pierce,New Sierrafurt,KS,3.9,66,"game, war",B
b_322,"Hunter, Kelly and Miller",East Autumnbury,,3.6,436,,A
b_323,Morrison Group,Christophermouth,,2.1,310,"fund, huge",A
b_324,Turner-Kennedy,Perkinschester,WY,4.8,296,"do, understand",B
b_325,"Phillips, Lopez and Hoover",Loganmouth,MN,4.0,147,"answer, specific, star",A
b_326,Macdonald LLC,,SD,3.2,288,"very, director, contain",A
b_327,Cruz Inc,Johnsonland,RI,3.4,223,"ago, exactly, indeed",B
b_328,Becker-Martinez,Flemingfort,IL,2.7,248,"southern, interesting, act",A
b_329,Jones LLC,Phillipsburgh,NM,2.0,294,"consider, score, bit",A
b_330,"Peters, Simmons and Fitzgerald",Lake Roberthaven,GA,2.4,490,"miss, every",A
b_331,Myers-Baldwin,North Theresatown,CA,4.0,40,tell,A
b_332,"Thomas, Carroll and Bowman",Martinezland,SC,1.1,215,,B
b_333,"Ryan, Scott and Butler",Port Ronaldshire,MT,1.5,467,"city, day",A
b_334,"Palmer, Stevenson and Hodge",Riveramouth,NY,1.2,283,,A
b_335,"Miller, Perez and Campos",South Tamara,CO,1.2,20,course,A
b_336,Allison LLC,Odomport,KY,4.4,368,"something, her, resource",A
b_337,Morrison-Singleton,East Carolynland,MO,3.8,56,"give, whether, official",B
b_338,Jordan Group,Clarkbury,AK,2.9,12,"only, staff, card",A
b_339,Anderson LLC,Robertton,ID,1.4,139,administration,B
b_340,Johnson Ltd,Howardburgh,WI,3.0,447,"white, say, behind",B
b_341,"Odonnell, Marshall and Riley",East Jason,CA,2.9,81,"use, partner",B
b_342,Riley LLC,South Chelseafort,AR,1.7,168,play,B
b_343,"Garcia, Butler and Powell",Jeffreyton,PA,2.7,401,nice,B
b_344,"Powers, Padilla and Henry",Mendezchester,KY,2.6,436,"seem, floor, then",A
b_345,"Hill, Cooper and Waller",New Kennethmouth,WY,3.5,441,"friend, show",A
b_346,"Alvarado, Brown and Dunn",Mooreberg,IL,3.5,139,"memory, time, land",B
b_347,Galvan Group,New Brenda,NJ,1.2,31,"to, section, sense",B
b_348,Bryant Group,Smallshire,TX,2.5,389,state,A
b_349,Francis PLC,New Dennisland,WI,3.5,398,provide,A
b_350,Gates-Johnson,Lake Robinton,CT,3.0,144,"ground, woman, wind",B
b_351,Clayton Inc,East Jennifer,MS,4.4,29,sea,A
b_352,Stone-Green,North Robertshire,WV,3.6,229,machine,A
b_353,Hobbs LLC,Christophershire,ID,1.7,342,tough,B
b_354,Swanson-Mays,Jacksonside,MT,1.3,139,"stay, product, drive",B
b_355,"Ross, Davila and Weber",Rickyton,NC,3.6,41,provide,B
b_356,Barrett-Ramirez,East Shannonfort,OK,1.1,99,"team, voice, edge",B
b_357,Rice-Gibson,Dennismouth,MA,3.3,268,less,B
b_358,"Nguyen, Pennington and Montoya",East Catherinestad,GA,4.8,434,"almost, left",A
b_359,Newton-Vargas,Ryanland,WI,3.3,307,somebody,B
b_360,Mendez Group,North Amyport,NV,2.6,342,"more, cold, mouth",A
b_361,"Logan, Hunt and Herrera",Port Alyssa,IA,3.6,258,book,B
b_362,Woodward LLC,Vincenthaven,MS,2.8,478,"bank, conference, have",B
b_363,Brooks LLC,Toddstad,KY,3.2,182,"several, any, total",B
b_364,"Rivera, Mason and Martin",New Anthony,WA,4.8,366,under,B
b_365,Roberson-Lawrence,Davidview,SD,2.5,480,"process, home, push",B
b_366,"Lee, Phillips and Rogers",Barnesville,NM,4.8,464,job,B
b_367,Porter Ltd,East Kennethport,SD,4.6,410,"decision, every",A
b_368,Beck-Mcguire,Smithville,TX,1.8,485,"particular, hotel, argue",B
b_369,Lambert LLC,New Linda,DE,1.3,393,"focus, increase, win",B
b_370,Rojas Inc,Donaldburgh,WY,1.4,56,"use, table, let",A
b_371,Martinez-Ritter,Hartmouth,OK,1.1,487,"market, these, move",A
b_372,Garcia LLC,North Michaelside,NJ,1.4,206,"gas, who",B
b_374,"Grant, Sullivan and Rodriguez",North Michele,VT,1.3,464,tree,A
b_375,Velazquez-Cole,South Randyborough,SC,2.3,388,"million, type, make",B
b_376,Adams-Howard,Anitamouth,NH,4.4,43,"ok, here, consider",B
b_377,"Fuller, Nguyen and Gutierrez",Port Davidbury,NH,1.1,263,"late, happy",A
b_378,Park-Bell,,NH,4.3,257,experience,B
b_379,Martinez-Mejia,Greenland,VA,2.1,443,"join, way",A
b_380,"Stark, Davis and Ibarra",Williamshaven,FL,1.5,51,,A
